Rank,lemma,Frequency_Score,pos,english_definition,example_vi,example_en
159,sống,6.09,verb,"to live, be alive",Anh ấy sống ở Hà Nội.,He lives in Hanoi.
160,thông,6.09,verb,"clear, pass through, informed","Đường thông rồi, đi thôi.","The road is clear, let's go."
161,thường,6.09,adverb,"often, usually, common, normal",Tôi thường dậy sớm.,I often wake up early.
162,bình,6.08,noun,"bottle, vase, flask",Cái bình này đẹp quá.,This vase is very pretty.
163,cuộc,6.08,classifier,"event, struggle, life",Cuộc họp hôm nay dài lắm.,Today's meeting was very long.
164,nhận,6.08,verb,"receive, accept, recognize, admit",Bạn nhận được quà chưa?,Have you received the gift yet?
165,quá,6.08,adverb,"too, very, excessively, past",Món này ngon quá!,This dish is too delicious!
166,sản,6.08,noun,"produce, product, property",Sản này mới về đấy!,This produce/product just arrived!
167,tế,6.08,adjective,"delicate, refined, tactful",Làm gì cũng phải tế.,"Whatever you do, be delicate/thorough."
168,yêu,6.08,verb,"love, like, adore",Tôi yêu Hà Nội.,I love Hanoi.
169,hoặc,6.07,conjunction,"or, alternatively",Bạn muốn trà hoặc cà phê?,Do you want tea or coffee?
170,lượng,6.07,noun,"quantity, amount, volume",Lượng mưa năm nay nhiều.,This year's rainfall quantity is high.
171,vụ,6.07,noun,"incident, case, season",Vụ này khó giải quyết thật.,This incident/case is really hard to resolve.
172,đường,6.07,noun,"road, path, sugar",Cho tôi thêm đường vào cà phê.,Give me more sugar in my coffee.
173,cô,6.06,noun,"aunt, young lady, teacher",Cô giáo tôi rất hiền.,My teacher is very gentle.
174,rằng,6.06,conjunction,that (introduces clause),Anh ấy nói rằng anh bận.,He said that he was busy.
175,thống,6.06,verb,"unify, total, integrate",Thống lại số liệu đi.,Total up the data.
176,tiếp,6.06,adverb,"continue, next, further",Chúng ta nói chuyện tiếp nhé.,"Let's continue talking, okay?"
177,tính,6.06,verb,"calculate, reckon, plan",Tính xem hết bao nhiêu tiền?,Calculate how much it costs?
178,vẫn,6.06,adverb,"still, yet, nevertheless",Anh ấy vẫn chưa về.,He still hasn't come back.
179,xe,6.06,noun,"vehicle, car, bike",Xe của bạn đâu rồi?,Where is your car?
180,gì,6.05,pronoun,"what, anything, something",Bạn muốn ăn gì?,What do you want to eat?
181,khu,6.05,noun,"area, zone, district",Khu này có nhiều nhà hàng ngon.,This area has many good restaurants.
182,loại,6.05,noun,"type, kind, category",Loại này đắt hơn loại kia.,This type is more expensive than that type.
183,muốn,6.05,verb,"to want, wish, desire",Em muốn mua cái này.,I want to buy this.
184,tập,6.05,verb,"to practice, train, gather",Em đang tập lái xe.,I'm practicing driving.
185,cái,6.04,classifier,"classifier for objects, things",Mua cho tôi cái bánh này.,Buy this cake for me.
186,tác,6.04,verb,"to create, act, cause",Ai tác nên chuyện này?,Who caused this to happen?
187,đối,6.04,preposition,"towards, concerning, against",Anh đối xử tốt với em nhé.,Please treat me well.
188,hàng,6.03,noun,"goods, merchandise, row",Hàng này mới về.,These goods just arrived.
189,hệ,6.03,noun,"system, series, lineage",Cái này thuộc hệ nào?,Which system does this belong to?
190,trị,6.03,verb,"to govern, cure, value",Thuốc này trị bệnh gì?,What disease does this medicine cure?
191,tìm,6.03,verb,"to find, to search for",Em đang tìm chìa khóa.,I'm looking for the key.
192,địa,6.03,noun,"place, ground, locality",Địa này là của ai?,Whose place/land is this?
193,lần,6.02,noun,"time, occasion, turn",Đây là lần đầu tiên tôi đến.,This is my first time coming.
194,lực,6.02,noun,"force, strength, power",Lực hút trái đất rất lớn.,Earth's gravitational force is very strong.
195,tay,6.02,noun,"hand, arm",Tay tôi bị đau.,My hand hurts.
196,trở,6.02,verb,"to return, become, again",Anh ấy trở về nhà rồi.,He has returned home.
197,bao,6.01,interrogative pronoun,"how much, how many",Cái này giá bao nhiêu?,How much is this?
198,hóa,6.01,verb,"to become, transform, chemical",Nước hóa đá.,Water turns into ice.
199,mặt,6.01,noun,"face, surface, side",Mặt tôi bị đỏ.,My face is red.
200,mỹ,6.01,noun,"USA, America",Anh ấy đi Mỹ du học.,He went to the USA to study abroad.
201,nay,6.01,adverb,"today, now, recently",Hôm nay anh đi đâu thế?,Where are you going today?
202,thủ,6.01,verb,"to defend, to guard",Đội mình cần thủ chặt hơn.,Our team needs to defend tighter.
203,tiền,6.01,noun,"money, cash",Tôi không có tiền lẻ.,I don't have small change.
204,gọi,6.0,verb,"to call, to name",Em gọi anh lúc mấy giờ?,What time did you call me?
205,kỳ,6.0,noun,"period, term, strange",Kỳ nghỉ này dài quá nhỉ.,"This holiday period is too long, isn't it?"
206,máy,6.0,noun,"machine, engine, device",Cái máy này hỏng rồi.,This machine is broken.
207,tiếng,6.0,noun,"sound, voice, language",Anh có nghe thấy tiếng gì không?,Do you hear any sound?
208,tạo,6.0,verb,"to create, to make, to form",Anh ấy vừa tạo một sản phẩm mới.,He just created a new product.
209,chi,5.99,verb,"to spend, to expend",Họ chi rất nhiều tiền cho dự án.,They spend a lot of money on the project.
210,cấp,5.99,verb,"to provide, to grant, level",Anh ấy được cấp học bổng.,He was granted a scholarship.
211,kinh,5.99,adjective,"extremely, terribly, classic",Cái phim này kinh quá!,This movie is so scary/intense!
212,tham,5.99,adjective,"greedy, covetous, participate",Anh ta tham tiền lắm.,He is very greedy for money.
213,toàn,5.99,adverb,"all, whole, entirely",Toàn bộ số vé đã bán hết.,All the tickets are sold out.
214,bắt,5.98,verb,"to catch, to arrest, to begin",Cảnh sát vừa bắt được tội phạm.,Police just caught the criminal.
215,giáo,5.98,noun,"doctrine, religion, teaching",Anh ấy theo một giáo phái lạ.,He follows a strange religious sect.
216,minh,5.98,adjective,"bright, clear, intelligent",Trăng hôm nay sáng minh lắm.,The moon is very bright today.
217,nghiệp,5.98,noun,"career, karma, industry",Anh ấy có sự nghiệp vững chắc.,He has a stable career.
218,nhau,5.98,pronoun,"each other, together",Chúng tôi gặp nhau hôm qua.,We met each other yesterday.
219,nhiên,5.98,adverb,"naturally, spontaneously",Cứ để mọi thứ tự nhiên.,Just let everything be natural.
220,thêm,5.98,verb,"to add, more, additionally",Bạn muốn thêm chút đường không?,Do you want to add some sugar?
221,ảnh,5.98,noun,"picture, photo, image",Cậu có thích xem ảnh không?,Do you like looking at photos?
222,ban,5.97,noun,"board, committee, section",Ban này phụ trách sự kiện.,This committee is in charge of the event.
223,bất,5.97,prefix,"prefix: un-, non-, dis-",Cái này bất tiện quá.,This is too inconvenient.
224,chiến,5.97,noun,"war, fight, battle",Cuộc chiến này sẽ dài đấy.,This war will be long.
225,chưa,5.97,particle,"not yet, still not",Bạn ăn cơm chưa?,Have you eaten yet?
226,giờ,5.97,noun,"hour, time",Mấy giờ rồi bạn?,What time is it?
227,mọi,5.97,determiner,"every, all",Mọi người đều ở đây.,Everyone is here.
228,phương,5.97,noun,"direction, method, means",Bạn đi theo phương nào?,Which direction are you going?
229,rồi,5.97,particle,"indicates completion, already",Tôi ăn cơm rồi.,I have eaten already.
230,thức,5.97,verb,to wake up,Sáng nay tôi thức sớm.,I woke up early this morning.
231,tích,5.97,verb,"to accumulate, to save",Bạn nên tích tiền để mua nhà.,You should save money to buy a house.
232,xem,5.97,verb,"to watch, to look at",Mình xem phim nhé?,Shall we watch a movie?
233,xã,5.97,noun,"commune, society",Xã hội đang thay đổi.,Society is changing.
234,hoa,5.96,noun,"flower, blossom",Cắm hoa này đẹp lắm.,Arranging these flowers is very beautiful.
235,nguyên,5.96,adjective,"original, whole, raw",Hãy giữ nguyên hiện trạng.,Please keep the original state.
236,phòng,5.96,noun,"room, chamber",Phòng này rộng ghê.,This room is really spacious.
237,tổ,5.96,noun,"nest, group, team",Tổ này có năm người.,This group has five people.
238,đặc,5.96,adjective,"special, characteristic, thick",Món này đặc biệt lắm.,This dish is very special.
239,chú,5.95,noun,uncle (younger paternal),Chú tôi rất hiền.,My uncle is very kind.
240,ngay,5.95,adverb,"immediately, right away",Bạn đến đây ngay nhé!,Come here right away!
241,tỉnh,5.95,noun,"province, administrative division",Tỉnh này có nhiều cảnh đẹp.,This province has many beautiful sights.
242,nơi,5.94,noun,"place, spot, location",Đây là nơi tôi làm việc.,This is where I work.
243,sao,5.94,adverb,why; how; star,Sao mày lại đến muộn thế?,Why are you so late?
244,sĩ,5.94,noun,scholar; professional (suffix),Bác sĩ đang khám bệnh.,The doctor is examining patients.
245,tư,5.94,adjective,"private, personal, individual",Đây là tài sản tư của anh ấy.,This is his private property.
246,đạo,5.94,noun,"religion, morality, way; to copy",Anh ấy theo đạo Phật.,He follows Buddhism.
247,4,5.93,numeral,four,Mình có 4 cái kẹo.,I have 4 candies.
248,bên,5.93,preposition,"beside, next to, at",Ngồi xuống bên này đi.,Sit down on this side.
249,bố,5.93,noun,"father, dad",Bố tôi đang ở nhà.,My dad is at home.
250,hiệu,5.93,noun,"brand, shop, sign, effect",Hiệu thuốc này mở cửa sớm.,This pharmacy opens early.
251,luôn,5.93,adverb,always; immediately; continuously,Cậu ấy luôn dậy sớm.,He always wakes up early.
252,lúc,5.93,noun,"time, moment; when",Lúc nào cậu rảnh thì gọi mình.,Call me whenever you're free.
253,tổng,5.93,noun,"total, sum, general",Tổng cộng bao nhiêu tiền?,How much is the total?
254,đề,5.93,verb,"to propose, mention, suggest",Anh ấy đề nghị đi ăn tối.,He suggested going to dinner.
255,lịch,5.92,noun,"calendar, schedule, politeness",Để mình xem lịch đã.,Let me check the calendar first.
256,năng,5.92,adverb,"diligently, frequently, often",Cậu ấy học rất năng.,He studies very diligently.
257,quyền,5.92,noun,"power, right; volume (book)",Mọi người đều có quyền tự do.,Everyone has the right to freedom.
258,tâm,5.92,noun,"heart, mind, center, spirit",Cô ấy là người có tâm.,She is a kind-hearted person.
259,tình,5.92,noun,"love, affection, situation, feeling",Tình hình này khó xử lý.,This situation is hard to handle.
260,vật,5.92,noun,"thing, object, matter",Đây là vật gì thế?,What is this thing?
261,điện,5.92,noun,"electricity, electric power",Tối qua nhà tôi mất điện.,Last night my house lost power.
262,đánh,5.92,verb,"to hit, strike, beat",Em bé đang đánh trống.,The baby is beating the drum.
263,5,5.91,numeral,the number five,Tôi có 5 cái kẹo.,I have 5 candies.
264,gian,5.91,adjective,"cunning, treacherous, deceitful",Thằng bé đó gian lắm.,That kid is very cunning.
265,tiên,5.91,noun,"fairy, immortal being",Ngày xưa có một nàng tiên.,Once upon a time there was a fairy.
266,tử,5.91,noun,death (often in compounds),Ai rồi cũng phải đối mặt với cái tử.,Everyone has to face death eventually.
267,đất,5.91,noun,"land, soil, earth",Mảnh đất này rộng lắm.,This piece of land is very big.
268,đều,5.91,adverb,"evenly, equally, all",Chia kẹo đều cho các bạn.,Divide the candy equally among friends.
269,bà,5.9,noun,"grandmother, madam, Mrs.",Bà tôi đang nấu cơm.,My grandmother is cooking rice.
270,bài,5.9,noun,"lesson, song, article, card",Hôm nay tôi học bài mới.,Today I learned a new lesson.
271,bởi,5.9,preposition,"by, because of, due to",Tôi mệt bởi vì thức khuya.,I'm tired because I stayed up late.
272,chuyển,5.9,verb,"to move, transfer, shift",Anh ấy vừa chuyển nhà.,He just moved house.
273,diện,5.9,noun,"face, surface, area",Anh ta giữ thể diện cho gia đình.,He maintains his family's honor.
274,phân,5.9,verb,"to divide, separate, sort",Phân loại đồ chơi ra đi.,Sort out the toys.
275,thuật,5.9,noun,"art, technique, skill",Ông ta học nhiều thuật hay.,He learned many good techniques.
276,đơn,5.9,noun,"form, application, order",Bạn đã nộp đơn chưa?,Have you submitted the application form yet?
277,hoạt,5.89,adjective,"lively, active, moving",Con cá này vẫn còn hoạt.,This fish is still lively.
278,lập,5.89,verb,"to establish, set up, make",Chúng ta cần lập kế hoạch.,We need to make a plan.
279,mẹ,5.89,noun,"mother, mom",Mẹ tôi đang đi chợ.,My mom is going to the market.
280,nhanh,5.89,adjective,"fast, quick, quickly",Chạy nhanh lên đi!,Run fast!
281,phố,5.89,noun,"street, downtown area",Nhà tôi ở gần phố.,My house is near the street.
282,thiết,5.89,noun,iron (the metal),Vật liệu này làm từ thiết.,This material is made from iron.
283,trang,5.89,noun,page (of a book),Đọc trang này cho tôi.,Read this page for me.
284,tất,5.89,noun,"sock, stocking",Em bé đi đôi tất hồng.,The baby wears pink socks.
285,hãy,5.88,particle,forms imperative/request (please),Hãy nghe tôi nói.,Please listen to me.
286,lời,5.88,noun,"word, speech, lyrics",Cô ấy nói lời hay.,She says good words.
287,thuộc,5.88,verb,to belong to; to memorize,Nó thuộc bài rồi.,He has memorized the lesson.
288,thật,5.88,adjective,"true, real, genuine",Chuyện đó là thật không?,Is that story true?
289,truyền,5.88,verb,"to transmit, to pass on",Anh ấy truyền kinh nghiệm.,He passes on experience.
290,trí,5.88,noun,"intellect, mind, wisdom",Bạn phải dùng trí để giải.,You must use your intellect to solve it.
291,vực,5.88,verb,"to revive, to help up",Anh ấy vực bạn dậy.,He helped his friend up.
292,đông,5.88,adjective,"crowded, numerous",Đường phố rất đông.,The street is very crowded.
293,an,5.87,adjective,"peaceful, safe, secure",Mong gia đình bạn an.,Hope your family is safe/peaceful.
